code,Total_delay,count
9E,99.88984946671093,69287
AA,69.67189229066766,336164
AS,50.99697912852435,76468
B6,89.76511249133034,128321
DL,65.95506453919664,276886
EV,105.52815497401924,63701
F9,97.20782618376131,53896
G4,86.82935618193466,37464
HA,34.955315747402075,25020
MQ,67.98336688525244,100342
NK,85.52975451847855,55605
OH,73.4863201670991,106763
OO,91.80114831121041,243488
UA,80.4936465501987,209099
VX,62.5826810990841,6005
WN,52.781086184835104,581448
YV,84.87551130247579,74320
YX,76.92777157441378,94035
