code,count,number,lat,lon,name,city
ABE,0.3499035091159103,1356,40.6514,-75.4342,Lehigh Valley International Airport,Allentown
ABI,0.38383384516002683,704,32.4164,-99.6803,Abilene Regional Airport,Abilene
ABQ,0.23310501036604964,12559,35.0494,-106.625,Albuquerque International Airport,Albuquerque
ABR,0.42026212005401703,4,45.4536,-98.4189,Aberdeen Regional Airport,Aberdeen
ABY,0.4025163461413732,345,31.5328,-84.1867,Southwest Georgia Regional Airport,Albany
ACK,0.4141733941074501,121,41.2568,-70.0649,Nantucket Memorial Airport,Nantucket
ACT,0.41963763534154863,16,31.609,-97.2234,Waco Regional Airport,Waco
ACV,0.34724944908791955,1407,40.9698,-124.108,Arcata Airport,Mckinleyville
ACY,0.40917751640770283,217,39.4512,-74.5716,Atlantic City International Airport,Egg Harbor City
ADK,0.4182325447384947,43,51.88,-176.639,Adak Airport,Adak
ADQ,0.40881323365876293,224,57.7545,-152.512,Kodiak Airport,Kodiak
AEX,0.36369421318292083,1091,31.323,-92.5417,Alexandria International Airport,Alexandria
AGS,0.3527136903220181,1302,33.3735,-81.9732,Bush Field Airport,Augusta
AKN,0.4191172314144916,26,58.6775,-156.655,King Salmon Airport,King Salmon
ALB,0.22167598148906487,3820,42.7426,-73.809,Albany International Airport,Latham
ALO,0.4191172314144916,26,42.5509,-92.3951,Waterloo Municipal Airport,Waterloo
AMA,0.27741124207686985,2749,35.2177,-101.706,Amarillo International Airport,Amarillo
ANC,0.14158581711499216,5359,61.1767,-149.961,Anchorage International Airport,Anchorage
ASE,0.34360662159852057,1477,39.2197,-106.864,Aspen Pitkin County Airport-Sardy Field,Aspen
ATL,8.190237176245736,165462,33.6558,-84.4333,Hartsfield-Jackson Atlanta International Airport,Atlanta
ATW,0.3518290036460212,1319,44.2603,-88.5111,Outagamie County Airport,Appleton
AUS,0.3719487781048579,15227,30.2027,-97.6653,Austin-Bergstrom International Airport,Austin
AVL,0.30863547770029,2149,35.4349,-82.5373,Asheville Regional Airport,Fletcher
AVP,0.381023663953919,758,41.3354,-75.7294,Wilkes Barre Scranton International Airport,Pittston
AZO,0.38242875455697295,731,42.2398,-85.5563,Kalamazoo-Battle Creek International Airport,Kalamazoo
BDL,0.005135907440646113,7981,41.9271,-72.6816,Bradley International Airport,Windsor Locks
BET,0.39788475119056593,434,60.7788,-161.847,Bethel Airport,Bethel
BFL,0.36614011164008875,1044,35.4288,-119.044,Kern County-Meadows Field Airport,Bakersfield
BGM,0.4083448701244117,233,42.2082,-75.9825,Greater Binghamton Edwin A Link Field Airport,Johnson City
BGR,0.4001745284696167,390,44.8086,-68.8167,Bangor International Airport,Bangor
BHM,0.006072634509348717,7963,33.5604,-86.7492,Birmingham International Airport,Birmingham
BIL,0.3749349380073521,875,45.8034,-108.537,Logan International Airport,Billings
BIS,0.3523494075730782,1309,46.7745,-100.757,Bismarck Municipal Airport,Bismarck
BJI,0.4193253929853144,22,47.5065,-94.9338,Bemidji-Beltrami County Airport,Bemidji
BLI,0.4179723427749662,48,48.7955,-122.532,Bellingham International Airport,Bellingham
BMI,0.35084023618461285,1338,40.4841,-88.9134,Bloomington Normal Airport,Bloomington
BNA,0.7650619046037177,22781,36.1342,-86.6682,Nashville International Airport,Nashville
BOI,0.19300172510822403,4371,43.5709,-116.222,Boise Air Terminal,Boise
BOS,1.6319507662952724,39439,42.3717,-71.0281,Gen E L Logan International Airport,Boston
BQK,0.40095513436020225,375,31.2525,-81.4703,Glynco Jetport Airport,Brunswick
BRO,0.3832614008402641,715,25.9064,-97.4321,Brownsville-South Padre Island International Air,Brownsville
BRW,0.3995500437571483,402,71.2892,-156.772,Wiley Post Will Rogers Memorial Airport,Barrow
BTM,0.41001016269099405,201,45.9544,-112.503,Bert Mooney Airport,Butte
BTR,0.2538889845738933,3201,30.533,-91.1567,Baton Rouge Metropolitan Airport,Baton Rouge
BTV,0.2946886524551623,2417,44.4688,-73.1552,Burlington International Airport,South Burlington
BUF,0.017397582600922095,8414,42.9309,-78.738,Greater Buffalo International Airport,Buffalo
BUR,0.07537058007507218,9528,34.1963,-118.352,Burbank Glendale Pasadena Airport,Burbank
BWI,2.002686523930681,46563,39.1841,-76.6745,Baltimore-Washington International Thurgood Mars,Baltimore
BZN,0.3449596718088688,1451,45.7722,-111.157,Gallatin Field Airport,Bozeman
CAE,0.24675945077321237,3338,33.9468,-81.1241,Columbia Metropolitan Airport,West Columbia
CAK,0.2522757324000166,3232,40.9149,-81.4309,Akron Canton Regional Airport,Canton
CDC,0.40657549677241783,267,37.6992,-113.092,Cedar City Municipal Airport,Cedar City
CDV,0.40964587994205415,208,60.4924,-145.475,Merle K Mudhole Smith Airport,Cordova
CEC,0.3983531147249172,425,41.7765,-124.237,Jack Mcnamara Field Airport,Crescent City
CHA,0.3355924011218427,1631,35.0373,-85.1966,Chattanooga Metropolitan Airport,Chattanooga
